name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"セリフ","Japanese speech bubble",""
"感情","thought bubble",""
"ハートマーク（恋愛・好意）","spoken heart",""
"赤面・照れ","spoken blush",""
"怒りマーク（ピキッ）","spoken anger vein",""
"混乱・もやもや線","spoken squiggle",""
"疑問符（？）","spoken question mark",""
"感嘆符（！）","spoken exclamation mark",""
"疑問＋驚き（！？）","spoken interrobang",""
"三点リーダー（…）","spoken ellipsis",""
"汗マーク（汗）","spoken sweatdrop",""
"飛び散る汗","spoken flying sweatdrops",""
"眠り・居眠り","spoken zzz",""
"音符（♪）","spoken musical note",""
"ひらめき","spoken light bulb",""
"キラキラ","spoken sparkle",""
"絶望・気絶","spoken skull",""
"バツ・否定","spoken x",""
"数字","spoken number",""
"男性記号（♂）","spoken mars symbol",""
"女性記号（♀）","spoken venus symbol",""
"文字アイコン","spoken character",""
"食べ物アイコン","spoken food",""
"無機物アイコン","spoken object",""
"絵文字アイコン","spoken emoji",""
"動物アイコン","spoken animal",""
"顔文字アイコン","spoken expression",""
"サウンドエフェクト","Japanese sound effects",""
"動きぼかし","motion blur",""
"方向性動きぼかし","directional motion blur",""
"スピード線","speed lines",""
"アクション線","action lines",""
"残像","afterimage",""
"ダイナミック照明","dynamic lighting",""
"ドラマチック照明","dramatic lighting",""
"インパクトエフェクト","impact effect",""
"インパクトフレーム","impact frame",""
"エネルギー爆発","energy burst",""
"風エフェクト","wind effect",""
"強風","strong wind",""
"突風","gust of wind",""
"空気の流れ","airflow",""
"流れる粒子","flowing particles",""
"舞う埃","dust in the air",""
"飛散する破片","floating debris",""
"舞い散る葉","scattering leaves",""
"舞い散る花びら","blowing petals",""
"発光粒子","glowing particles",""
"火花粒子","spark particles",""
"エネルギー粒子","energy particles",""
"光の軌跡","light trails",""
"正面から","from front",""
"上から","from above",""
"下から","from below",""
"横から","from side",""
"横向き（プロファイル）","profile",""
"後ろから","from behind",""
"斜めアングル","angled shot",""
"ダイナミックアングル","dynamic angle",""
"カメラ傾き","dutch angle",""
"アイレベル","eye-level shot",""
"ハイアングル","high angle shot",""
"ローアングル","low angle shot",""
"俯瞰","bird's-eye view",""
"煽り","worm's-eye view",""
"オーバーヘッド","overhead shot",""
"トップダウン","top-down camera",""
"ショルダー越し","over-the-shoulder shot",""
"主観視点","POV",""
"一人称カメラ","first-person camera",""
"固定カメラ","fixed camera",""
"広角ショット","wide shot",""
"クローズアップ","closeup",""
"パノラマ","panorama",""
"魚眼","fisheye lens",""
"自撮り","selfie",""
"動きのある構図","dynamic composition",""
"シネマ構図","cinematic framing",""
"中央構図","centered composition",""
"三分割構図","rule of thirds",""
"対角線構図","diagonal composition",""
"対称構図","symmetry",""
"回転対称","rotational symmetry",""
"非対称構図","asymmetrical composition",""
"円構図","circular composition",""
"S字構図","s-curve composition",""
"フレーム内フレーム","frame within a frame",""
"余白構図","negative space",""
"オフセンター配置","off-center framing",""
"タイトフレーミング","tight framing",""
"ルーズフレーミング","loose framing",""
"レターボックス","letterboxed",""
"ピラーボックス","pillarboxed",""
"表紙構図","magazine cover",""
"ファインダー越し","viewfinder",""
"顔フレームアウト","head out of frame",""
"肩フレームアウト","cropped shoulders",""
"胴体フレームアウト","cropped torso",""
"脚フレームアウト","cropped legs",""
"足先フレームアウト","feet out of frame",""
"遠近法","perspective",""
"誇張パース","exaggerated perspective",""
"圧縮パース","compressed perspective",""
"一点透視","one-point perspective",""
"二点透視","two-point perspective",""
"三点透視","three-point perspective",""
"消失点","vanishing point",""
"大気遠近法","atmospheric perspective",""
"奥行き強調","depth composition",""
"レイヤー構成","layered composition",""
"平面的構図","flat composition",""
"アイソメトリック","isometric",""
"複数視点","multiple views",""
"画面分割","split view",""
"投影インセット","projected inset",""
"全体フォーカス","overall focus",""
"被写体フォーカス","subject focus",""
"前景フォーカス","foreground focus",""
"背景フォーカス","background focus",""
"顔フォーカス","face focus",""
"胸フォーカス","chest focus",""
"腰フォーカス","waist focus",""
"被写界深度","depth of field",""
"浅い被写界深度","shallow depth of field",""
"深い被写界深度","deep depth of field",""
"顔アップ","face close up",""
"顔クローズアップ","face closeup",""
"目元アップ","eyes close up",""
"口元アップ","mouth close up",""
"首元アップ","neck close up",""
"肩から上","shoulders up",""
"バストアップ","bust up",""
"胸から上","upper body",""
"ウエストアップ","waist up",""
"腰から上","waist up framing",""
"ヒップアップ","hip up framing",""
"上半身","torso",""
"下半身","lower body",""
"膝上","above knee",""
"膝下","below knee",""
"手元アップ","hands close up",""
"足元アップ","feet close up",""
"全身","full body",""
"等身大全身","full body standard pose",""
"全身アクション","full body action pose",""
