name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"笑顔","smile",""
"微笑み","gentle smile,soft eyes",""
"オーガズム","orgasm,sexual climax",""
"イキ顔","ecstasy face",""
"アヘ顔","ahegao",""
"絶頂","sexual climax",""
"快楽","sexual pleasure",""
"大笑い","laughing,cheerful expression",""
"泣き顔","teary eyes,crying expression",""
"涙目","watery eyes,glossy tears",""
"赤面","blushing cheeks",""
"恥ずかしがる","shy expression,blushing",""
"照れ笑い","embarrassed smile",""
"怒り","angry expression,furrowed brows",""
"激怒","rage,shouting,intense anger",""
"苦しむ","suffer",""
"激痛","severe pain",""
"痛みに顔を歪める","grimacing in pain",""
"苦悶する","wincing",""
"嘔吐","vomiting",""
"困り顔","worried expression,troubled eyes,slightly downturned mouth",""
"不安","anxious expression,tense eyes,tight lips",""
"驚き","surprised expression,wide open eyes,open mouth",""
"ショック","shocked expression,frozen eyes,slightly open mouth",""
"呆れ","exasperated expression,half-lidded eyes,flat mouth",""
"眠い","sleepy expression,droopy eyes,relaxed mouth",""
"半目","tired expression,half-closed eyes,neutral mouth",""
"虚ろ目","vacant expression,dull unfocused eyes,slack mouth",""
"ぼーっとする","absent expression,unfocused gaze,slightly open mouth",""
"放心","dazed expression,empty eyes,loose mouth",""
"恍惚","entranced expression,dreamy eyes,soft relaxed mouth",""
"陶酔","blissful expression,dazed eyes,loosened smile",""
"とろけ目","relaxed expression,melty unfocused eyes,soft mouth",""
"とろけ顔","melted relaxed expression,droopy eyes,loose smile",""
"意識朦朧","faint expression,weak eyes,slightly open mouth",""
"落ち込み","dejected expression,downcast eyes,small frown",""
"ため息","tired expression,half-lidded eyes,sighing mouth",""
"真顔","neutral expression,blank eyes,straight mouth",""
"キレ気味","irritated expression,sharp eyes,tense mouth",""
"にやけ","smug expression,narrowed eyes,sly grin",""
"困惑","confused expression,wandering eyes,slightly open mouth",""
"焦り","panicked expression,wide eyes,sweating open mouth",""
"涙と笑顔","bittersweet expression,teary eyes,smiling mouth",""
"目を細める","squinting",""
"目を見開く","wide eyes",""
"目を閉じる","eyes closed",""
"目を伏せる","downcast eyes",""
"口を開ける","open mouth",""
"閉じた口","closed mouth",""
"半開きの口","slightly open mouth",""
"口を尖らせる","pursed lips",""
"頬を膨らませる","puffed cheeks",""
"歯を食いしばる","clenched teeth",""
"舌を出す","tongue out",""
"猫口","cat mouth",""
"V字口","v-shaped mouth",""
"三角口","triangular mouth",""
"ジト目","half-lidded eyes",""
"キリッとした目","sharp eyes",""
"キラキラ目","sparkling eyes",""
"ハート目","heart-shaped pupils",""
"星目","star-shaped pupils",""
"ぐるぐる目","spiral eyes",""
"×目","x-shaped eyes",""
"縦線（絶望）","shadowed eyes",""
"青ざめ","fearful expression,pale eyes,stiff mouth",""
"恐怖","fearful expression,wide trembling eyes,open mouth",""
"怯え","scared expression,shaking eyes,small open mouth",""
"嫌悪","disgusted expression,narrowed eyes,twisted mouth",""
"にやり","mischievous expression,sharp eyes,sly grin",""
"イタズラ顔","prankish expression,playful eyes,grinning mouth",""
"決意","determined expression,focused eyes,firm mouth",""
"勝ち誇り","triumphant expression,confident eyes,proud smile",""
"驚愕","terrified expression,bulging eyes,wide open mouth",""
"緊張","nervous expression,tense eyes,pressed lips",""
"やる気","motivated expression,intense eyes,confident mouth",""
"ドヤ顔","smug expression,confident eyes,boastful grin",""
"ドン引き","repulsed expression,awkward eyes,stiff mouth",""
"無気力","apathetic expression,dull eyes,slack mouth",""
"ショボーン","sad deformed expression,droopy eyes,small mouth",""
"ウキウキ","excited expression,bright eyes,big smile",""
"嫉妬","jealous expression,narrowed eyes,twisted mouth",""
"怒り泣き","angry crying expression,teary eyes,clenched mouth",""
"口元笑み","soft expression,calm eyes,slight smile",""
"眉下げ笑顔","apologetic expression,drooping eyes,gentle smile",""
"甘え顔","pleading expression,moist eyes,soft smile",""
"憂い顔","melancholic expression,heavy eyes,subtle frown",""
"デレ顔","bashful expression,soft eyes,shy smile",""
"ツン顔","tsundere expression,sharp eyes,pouting mouth",""
"ぽかん顔","confused expression,wide eyes,mouth agape",""
"にこにこ","happy expression,smiling eyes,grinning mouth",""
"ほほえみ涙","touched expression,teary eyes,soft smile",""
"無関心","indifferent expression,distant eyes,flat mouth",""
"退屈","bored expression,half-lidded eyes,yawning mouth",""
"欲情の笑顔","sexual allure,sensual expression",""
"艶めいた微笑み","seductive smile,come-hither eyes",""
"熱っぽい視線","intense gaze,lusty look",""
"濡れた唇","wet lips,seductive pout",""
"舌を出す","tongue out,sexual,licking lips",""
"ねっとり顔","seductive face,slithering tongue",""
"恍惚の表情","ecstasy like expression,trembling body",""
"妖艶な笑み","sexy smile,sensual allure",""
"色香り立つ顔","sex appeal,erotic aura",""
"恍惚とした目","lusty eyes,rapturous look",""
