name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"晴天","clear sky,bright daylight",""
"曇天","overcast sky,soft light",""
"雨","rainy weather,wet ground",""
"大雨","heavy rain,stormy sky",""
"雷雨","thunderstorm,lightning,dark clouds",""
"雪","snowfall,winter atmosphere",""
"吹雪","blizzard,whiteout",""
"霧","foggy weather,low visibility",""
"朝","morning light,soft sunlight",""
"昼","midday,bright sun",""
"夕方","sunset,golden hour",""
"夜","night,dark sky",""
"深夜","late night,deep darkness",""
"春","spring season,fresh greenery",""
"夏","summer season,bright light",""
"秋","autumn season,fall colors",""
"冬","winter season,cold atmosphere",""
"草原","wide grassland,open field",""
"森","lush forest,tall trees",""
"夜の森","dark forest,moonlight",""
"竹林","bamboo forest,green",""
"山","mountain landscape,rocky terrain",""
"雪山","snowy mountains,icy peaks",""
"砂漠","desert landscape,sand dunes",""
"荒野","wasteland,barren land",""
"海辺","seaside,blue ocean",""
"岩場の海岸","rocky coast,waves",""
"港","harbor,docked ships",""
"湖","quiet lake,water reflection",""
"川辺","riverside,flowing water",""
"滝","large waterfall,white mist",""
"渓谷","deep canyon,cliffs",""
"田舎","rural village,countryside",""
"村","small village,wooden houses",""
"街","town streets,buildings",""
"都市","modern city,skyscrapers",""
"夜景都市","city at night,neon lights",""
"近未来都市","futuristic city,neon signs",""
"青空","blue sky,clear sky",""
"快晴の空","bright blue sky,no clouds",""
"薄雲の空","blue sky,thin clouds",""
"入道雲","summer sky,cumulonimbus",""
"巨大雲","massive clouds,dramatic sky",""
"嵐雲","storm clouds,dark sky",""
"雷雲","thunderclouds,lightning",""
"稲妻の空","lightning strike,stormy sky",""
"夕焼け空","sunset sky,orange sky",""
"赤い夕空","red sunset sky,dramatic clouds",""
"黄昏の空","twilight sky,purple sky",""
"夜空","night sky,dark sky",""
"星空","starry sky,clear night",""
"満天の星","dense stars,night sky",""
"天の川","milky way,starry sky",""
"流星群","meteor shower,night sky",""
"月夜","moonlit sky,full moon",""
"巨大な月","huge moon,fantasy sky",""
"三日月の空","crescent moon,night sky",""
"惑星の見える空","visible planets,fantasy sky",""
"宇宙に近い空","space-like sky,thin atmosphere",""
"成層圏の空","stratosphere,deep blue sky",""
"雲海","sea of clouds,high altitude",""
"雲の上","above the clouds,sky scenery",""
"空に浮かぶ島","floating islands,fantasy sky",""
"浮遊都市","floating city,fantasy architecture",""
"天空都市","sky city,fantasy skyline",""
"空中遺跡","floating ruins,ancient fantasy",""
"魔法の空","magical sky,glowing clouds",""
"発光する雲","glowing clouds,fantasy sky",""
"オーロラ","aurora borealis,night sky",""
"虹の空","rainbow sky,after rain",""
"二重の虹","double rainbow,bright sky",""
"幻想的な空","ethereal sky,fantasy atmosphere",""
"終末の空","apocalyptic sky,dark clouds",""
"崩壊した空","fractured sky,fantasy disaster",""
"異世界の空","otherworldly sky,alien atmosphere",""
"歪んだ空","distorted sky,surreal",""
"神秘的な空","mystical sky,soft light",""
"空間が裂けた空","ripped sky,fantasy anomaly",""
"廃墟","ruins,collapsed buildings",""
"瓦礫の街","city ruins,rubble,debris",""
"崩壊した都市","destroyed city,collapsed skyscrapers",""
"戦争廃墟","war-torn city,smoke,debris",""
"崩れた橋","collapsed bridge,broken concrete",""
"廃工場","abandoned factory,rusted machines",""
"廃病院","abandoned hospital,broken corridors",""
"廃校","abandoned school,broken desks",""
"地下鉄廃駅","abandoned subway station",""
"室内","indoor scene,interior",""
"散らかった部屋","messy room,cluttered floor,dirty",""
"汚い部屋","dirty room,trash scattered,grimy",""
"荒れた部屋","neglected room,damaged furniture",""
"生活感のある部屋","lived-in room,casual clutter",""
"放置された部屋","abandoned room,dusty interior",""
"荒廃した室内","ruined interior,broken walls",""
"崩れた室内","collapsed interior,debris",""
"水浸しの部屋","flooded room,water on floor",""
"カビの生えた部屋","moldy room,damp walls",""
"暗く湿った部屋","dark damp room,moist air",""
"汚れたキッチン","dirty kitchen,greasy surfaces",""
"荒れたキッチン","messy kitchen,dishes piled",""
"放置されたキッチン","abandoned kitchen,dusty counters",""
"壊れたキッチン","broken kitchen,damaged appliances",""
"水没したキッチン","flooded kitchen,submerged furniture",""
"荒れたリビング","messy living room,clutter",""
"荒廃したリビング","ruined living room,broken sofa",""
"水没したリビング","flooded living room,water reflections",""
"汚れた浴室","dirty bathroom,stained tiles",""
"荒廃した浴室","ruined bathroom,broken fixtures",""
"水没した浴室","flooded bathroom,water filled",""
"崩れた教室","collapsed classroom,broken desks",""
